County,Confirmed,Deaths,Date
Chelan,2,0,2020-03-19
Clark,4,3,2020-03-19
Columbia,1,0,2020-03-19
Franklin,1,0,2020-03-19
Grant,8,1,2020-03-19
Grays Harbor,1,0,2020-03-19
Island,16,0,2020-03-19
Jefferson,4,0,2020-03-19
King,562,56,2020-03-19
Kitsap,9,0,2020-03-19
Kittitas,4,0,2020-03-19
Klickitat,1,0,2020-03-19
Lewis,1,0,2020-03-19
Lincoln,1,0,2020-03-19
Mason,1,0,2020-03-19
Pierce,56,0,2020-03-19
Skagit,14,0,2020-03-19
Snohomish,310,6,2020-03-19
Spokane,4,0,2020-03-19
Thurston,6,0,2020-03-19
Whatcom,7,0,2020-03-19
Yakima,7,0,2020-03-19
Unassigned,167,0,2020-03-19
Total,1187,66,2020-03-19
