County,Confirmed,Deaths,Date
Benton,7,2,2020-03-22
Chelan,3,0,2020-03-22
Clallam,4,0,2020-03-22
Clark,10,3,2020-03-22
Columbia,1,0,2020-03-22
Cowlitz,3,0,2020-03-22
Franklin,3,0,2020-03-22
Grant,18,1,2020-03-22
Grays Harbor,1,0,2020-03-22
Island,21,1,2020-03-22
Jefferson,6,0,2020-03-22
King,1040,75,2020-03-22
Kitsap,18,0,2020-03-22
Kittitas,4,0,2020-03-22
Klickitat,4,0,2020-03-22
Lewis,2,0,2020-03-22
Lincoln,1,0,2020-03-22
Mason,1,0,2020-03-22
Pierce,107,1,2020-03-22
San Juan,1,0,2020-03-22
Skagit,33,0,2020-03-22
Snohomish,480,10,2020-03-22
Spokane,20,0,2020-03-22
Stevens,1,0,2020-03-22
Thurston,11,0,2020-03-22
Walla Walla,1,0,2020-03-22
Whatcom,14,2,2020-03-22
Yakima,16,0,2020-03-22
Unassigned,165, ,2020-03-22
Total,1996,95,2020-03-22
