County,Confirmed,Deaths,Date
Benton,7,2,2020-03-21
Chelan,3,0,2020-03-21
Clallam,2,0,2020-03-21
Clark,9,3,2020-03-21
Columbia,1,0,2020-03-21
Cowlitz,2,0,2020-03-21
Franklin,2,0,2020-03-21
Grant,11,1,2020-03-21
Grays Harbor,1,0,2020-03-21
Island,19,1,2020-03-21
Jefferson,4,0,2020-03-21
King,934,74,2020-03-21
Kitsap,15,0,2020-03-21
Kittitas,4,0,2020-03-21
Klickitat,4,0,2020-03-21
Lewis,2,0,2020-03-21
Lincoln,1,0,2020-03-21
Mason,1,0,2020-03-21
Pierce,95,1,2020-03-21
San Juan,1,0,2020-03-21
Skagit,28,0,2020-03-21
Snohomish,447,10,2020-03-21
Spokane,16,0,2020-03-21
Stevens,1,0,2020-03-21
Thurston,9,0,2020-03-21
Whatcom,14,2,2020-03-21
Yakima,13,0,2020-03-21
Unassigned,147, ,2020-03-21
Total,1793,94,2020-03-21
