County,Confirmed,Deaths,Date
Benton,7,2,2020-03-22
Chelan,3,0,2020-03-22
Clallam,4,0,2020-03-22
Clark,10,3,2020-03-22
Columbia,1,0,2020-03-22
Cowlitz,3,0,2020-03-22
Franklin,3,0,2020-03-22
Grant,18,1,2020-03-22
Grays Harbor,1,0,2020-03-22
Island,21,1,2020-03-22
Jefferson,6,0,2020-03-22
King,1040,75,2020-03-22
Kitsap,18,0,2020-03-22
Kittitas,4,0,2020-03-22
Klickitat,4,0,2020-03-22
Lewis,2,0,2020-03-22
Lincoln,1,0,2020-03-22
Mason,1,0,2020-03-22
Pierce,107,1,2020-03-22
San Juan,1,0,2020-03-22
Skagit,33,0,2020-03-22
Snohomish,480,10,2020-03-22
Spokane,20,0,2020-03-22
Stevens,1,0,2020-03-22
Thurston,11,0,2020-03-22
Walla Walla,1,0,2020-03-22
Whatcom,14,2,2020-03-22
Yakima,16,0,2020-03-22
Unassigned,165, ,2020-03-22
Total,1996,95,2020-03-22
King,71,15,2020-03-08
Snohomish,27,1,2020-03-08
Grant,1,0,2020-03-08
Jefferson,1,0,2020-03-08
Pierce,1,0,2020-03-08
Clark,1,0,2020-03-08
Total,102,16,2020-03-08
King,58,10,2020-03-07
Snohomish,19,1,2020-03-07
Grant,1,0,2020-03-07
Jefferson,1,0,2020-03-07
Total,79,11,2020-03-07
Clark,1,0,2020-03-11
Grant,1,1,2020-03-11
Jefferson,1,0,2020-03-11
King,190,22,2020-03-11
Kitsap,2,0,2020-03-11
Kittitas,1,0,2020-03-11
Pierce,14,0,2020-03-11
Skagit,1,0,2020-03-11
Snohomish,54,1,2020-03-11
Unassigned,2,0,2020-03-11
Total,267,24,2020-03-11
Benton,2,1,2020-03-20
Chelan,2,0,2020-03-20
Clallam,1,0,2020-03-20
Clark,6,3,2020-03-20
Columbia,1,0,2020-03-20
Cowlitz,1,0,2020-03-20
Franklin,2,0,2020-03-20
Grant,8,1,2020-03-20
Grays Harbor,1,0,2020-03-20
Island,19,1,2020-03-20
Jefferson,4,0,2020-03-20
King,793,67,2020-03-20
Kitsap,12,0,2020-03-20
Kittitas,4,0,2020-03-20
Klickitat,2,0,2020-03-20
Lewis,1,0,2020-03-20
Lincoln,1,0,2020-03-20
Mason,1,0,2020-03-20
Pierce,83,1,2020-03-20
Skagit,25,0,2020-03-20
Snohomish,385,8,2020-03-20
Spokane,11,0,2020-03-20
Thurston,6,0,2020-03-20
Whatcom,10,1,2020-03-20
Yakima,10,0,2020-03-20
Unassigned,133,6,2020-03-20
Total,1524,83,2020-03-20
Clark,3,0,2020-03-15
Columbia,1,0,2020-03-15
Grant,2,1,2020-03-15
Grays Harbor,1,0,2020-03-15
Island,6,0,2020-03-15
Jefferson,1,0,2020-03-15
King,387,35,2020-03-15
Kitsap,3,0,2020-03-15
Kittitas,3,0,2020-03-15
Pierce,26,0,2020-03-15
Skagit,4,0,2020-03-15
Snohomish,154,4,2020-03-15
Spokane,3,0,2020-03-15
Thurston,3,0,2020-03-15
Whatcom,2,0,2020-03-15
Yakima,4,0,2020-03-15
Unassigned,39,0,2020-03-15
Total,642,40,2020-03-15
Chelan,2,0,2020-03-19
Clark,4,3,2020-03-19
Columbia,1,0,2020-03-19
Franklin,1,0,2020-03-19
Grant,8,1,2020-03-19
Grays Harbor,1,0,2020-03-19
Island,16,0,2020-03-19
Jefferson,4,0,2020-03-19
King,562,56,2020-03-19
Kitsap,9,0,2020-03-19
Kittitas,4,0,2020-03-19
Klickitat,1,0,2020-03-19
Lewis,1,0,2020-03-19
Lincoln,1,0,2020-03-19
Mason,1,0,2020-03-19
Pierce,56,0,2020-03-19
Skagit,14,0,2020-03-19
Snohomish,310,6,2020-03-19
Spokane,4,0,2020-03-19
Thurston,6,0,2020-03-19
Whatcom,7,0,2020-03-19
Yakima,7,0,2020-03-19
Unassigned,167,0,2020-03-19
Total,1187,66,2020-03-19
Clark,4,0,2020-03-17
Columbia,1,0,2020-03-17
Grant,3,1,2020-03-17
Grays Harbor,1,0,2020-03-17
Island,7,0,2020-03-17
Jefferson,3,0,2020-03-17
King,488,43,2020-03-17
Kitsap,7,0,2020-03-17
Kittitas,3,0,2020-03-17
Lewis,1,0,2020-03-17
Lincoln,1,0,2020-03-17
Pierce,38,0,2020-03-17
Skagit,7,0,2020-03-17
